"cut","carat","color","price"
"Ideal",0.23,"E",326
"Premium",0.21,"E",326
"Good",0.23,"E",327
"Premium",0.29,"I",334
"Good",0.31,"J",335
"Very Good",0.24,"J",336
"Very Good",0.24,"I",336
"Very Good",0.26,"H",337
"Fair",0.22,"E",337
"Very Good",0.23,"H",338
"Good",0.3,"J",339
"Ideal",0.23,"J",340
"Premium",0.22,"F",342
"Ideal",0.31,"J",344
"Premium",0.2,"E",345
"Premium",0.32,"E",345
"Ideal",0.3,"I",348
"Good",0.3,"J",351
"Good",0.3,"J",351
"Very Good",0.3,"J",351
"Good",0.3,"I",351
"Very Good",0.23,"E",352
"Very Good",0.23,"H",353
"Very Good",0.31,"J",353
"Very Good",0.31,"J",353
"Very Good",0.23,"G",354
"Premium",0.24,"I",355
"Very Good",0.3,"J",357
"Very Good",0.23,"D",357
"Very Good",0.23,"F",357
"Very Good",0.23,"F",402
"Very Good",0.23,"F",402
"Very Good",0.23,"E",402
"Very Good",0.23,"E",402
"Very Good",0.23,"D",402
"Good",0.23,"F",402
"Good",0.23,"E",402
"Good",0.31,"H",402
"Very Good",0.26,"D",403
"Ideal",0.33,"I",403
"Ideal",0.33,"I",403
"Ideal",0.33,"J",403
"Good",0.26,"D",403
"Good",0.26,"D",403
"Good",0.32,"H",403
"Premium",0.29,"F",403
"Very Good",0.32,"H",403
"Good",0.32,"H",403
"Very Good",0.25,"E",404
"Very Good",0.29,"H",404
"Very Good",0.24,"F",404
"Ideal",0.23,"G",404
"Ideal",0.32,"I",404
"Premium",0.22,"E",404
"Premium",0.22,"D",404
"Ideal",0.3,"I",405
"Premium",0.3,"J",405
"Very Good",0.3,"I",405
"Very Good",0.3,"I",405
"Good",0.3,"I",405
"Ideal",0.35,"I",552
"Premium",0.3,"D",552
"Ideal",0.3,"D",552
"Ideal",0.3,"D",552
"Premium",0.42,"I",552
"Ideal",0.28,"G",553
"Ideal",0.32,"I",553
"Very Good",0.31,"G",553
"Premium",0.31,"G",553
"Premium",0.24,"E",553
"Very Good",0.24,"D",553
"Very Good",0.3,"H",554
"Premium",0.3,"H",554
"Premium",0.3,"H",554
"Good",0.3,"H",554
"Very Good",0.26,"F",554
"Very Good",0.26,"E",554
"Very Good",0.26,"D",554
"Very Good",0.26,"D",554
"Very Good",0.26,"E",554
"Very Good",0.26,"E",554
"Very Good",0.26,"D",554
"Ideal",0.26,"E",554
"Ideal",0.38,"I",554
"Good",0.26,"E",554
"Premium",0.24,"G",554
"Premium",0.24,"H",554
"Premium",0.24,"H",554
"Premium",0.24,"H",554
"Premium",0.32,"I",554
"Ideal",0.7,"E",2757
"Fair",0.86,"E",2757
"Ideal",0.7,"G",2757
"Very Good",0.71,"E",2759
"Very Good",0.78,"G",2759
"Good",0.7,"E",2759
"Good",0.7,"F",2759
"Fair",0.96,"F",2759
"Very Good",0.73,"E",2760
"Premium",0.8,"H",2760
"Very Good",0.75,"D",2760
"Premium",0.75,"E",2760
"Ideal",0.74,"G",2760
"Premium",0.75,"G",2760
"Ideal",0.8,"I",2760
"Ideal",0.75,"G",2760
"Premium",0.8,"G",2760
"Ideal",0.74,"I",2761
"Ideal",0.81,"F",2761
"Ideal",0.59,"E",2761
"Ideal",0.8,"F",2761
"Ideal",0.74,"E",2761
"Premium",0.9,"I",2761
"Very Good",0.74,"G",2762
"Ideal",0.73,"F",2762
"Ideal",0.73,"F",2762
"Premium",0.8,"F",2762
"Ideal",0.71,"G",2762
"Ideal",0.7,"E",2762
"Ideal",0.8,"F",2762
"Ideal",0.71,"D",2762
"Ideal",0.74,"E",2762
"Very Good",0.7,"F",2762
"Fair",0.7,"F",2762
"Fair",0.7,"F",2762
"Premium",0.7,"F",2762
"Premium",0.91,"H",2763
"Very Good",0.61,"D",2763
"Fair",0.91,"H",2763
"Fair",0.91,"H",2763
"Ideal",0.77,"H",2763
"Very Good",0.71,"D",2764
"Ideal",0.71,"D",2764
"Very Good",0.7,"E",2765
"Very Good",0.77,"H",2765
"Premium",0.63,"E",2765
"Very Good",0.71,"F",2765
"Premium",0.71,"F",2765
"Ideal",0.76,"H",2765
"Ideal",0.64,"G",2766
"Premium",0.71,"G",2766
"Premium",0.71,"G",2766
"Very Good",0.7,"D",2767
"Very Good",0.7,"F",2767
"Ideal",0.71,"D",2767
"Good",0.7,"H",2767
"Very Good",0.71,"G",2768
"Very Good",0.73,"D",2768
"Very Good",0.7,"D",2768
"Ideal",0.7,"E",2768
"Premium",0.71,"D",2768
"Ideal",0.74,"I",2769
"Premium",0.71,"D",2770
"Premium",0.73,"G",2770
"Very Good",0.76,"F",2770
"Ideal",0.76,"D",2770
"Ideal",0.71,"F",2770
"Premium",0.73,"G",2770
"Premium",0.73,"G",2770
"Ideal",0.73,"D",2770
"Premium",0.73,"G",2770
"Very Good",0.72,"H",2771
"Very Good",0.73,"F",2771
"Ideal",0.71,"G",2771
"Ideal",0.79,"F",2771
"Very Good",0.73,"H",2772
"Very Good",0.8,"F",2772
"Ideal",0.58,"G",2772
"Ideal",0.58,"F",2772
"Good",0.71,"E",2772
"Ideal",0.75,"D",2773
"Premium",0.7,"D",2773
"Very Good",1.17,"J",2774
"Ideal",0.6,"E",2774
"Ideal",0.7,"E",2774
"Good",0.83,"I",2774
"Very Good",0.74,"F",2775
"Very Good",0.72,"G",2776
"Premium",0.71,"E",2776
"Ideal",0.71,"E",2776
"Ideal",0.54,"E",2776
"Ideal",0.54,"E",2776
"Ideal",0.72,"G",2776
"Ideal",0.72,"G",2776
"Good",0.72,"G",2776
"Ideal",0.71,"G",2776
"Very Good",0.7,"D",2777
"Premium",0.71,"F",2777
"Very Good",0.71,"F",2777
"Good",0.71,"F",2777
"Good",0.71,"F",2777
"Ideal",0.7,"E",2777
"Premium",0.7,"E",2777
"Premium",0.7,"E",2777
"Premium",0.7,"E",2777
"Premium",0.7,"E",2777
"Premium",0.7,"E",2777
"Premium",0.7,"E",2777
"Ideal",0.7,"E",2777
"Premium",0.72,"F",2777
"Very Good",0.7,"E",2777
"Premium",0.7,"E",2777
"Premium",0.7,"E",2777
"Good",0.7,"E",2777
"Fair",0.98,"H",2777
"Premium",0.78,"F",2777
"Very Good",0.7,"E",2777
"Ideal",0.52,"F",2778
"Very Good",0.73,"H",2779
"Ideal",0.74,"E",2779
"Very Good",0.7,"F",2780
"Premium",0.77,"G",2780
"Ideal",0.71,"F",2780
"Ideal",0.74,"G",2780
"Ideal",0.7,"G",2780
"Premium",1.01,"F",2781
"Ideal",0.77,"H",2781
"Ideal",0.78,"H",2781
"Very Good",0.72,"H",2782
"Very Good",0.53,"D",2782
"Ideal",0.76,"G",2782
"Good",0.7,"E",2782
"Premium",0.7,"E",2782
"Very Good",0.75,"D",2782
"Ideal",0.72,"D",2782
"Premium",0.72,"D",2782
"Premium",0.7,"D",2782
"Fair",0.84,"G",2782
"Premium",0.75,"F",2782
"Ideal",0.52,"F",2783
"Very Good",0.72,"F",2784
"Very Good",0.79,"H",2784
"Very Good",0.72,"F",2787
"Ideal",0.51,"F",2787
"Ideal",0.64,"D",2787
"Very Good",0.7,"H",2788
"Very Good",0.83,"I",2788
"Ideal",0.76,"I",2788
"Good",0.71,"D",2788
"Good",0.77,"G",2788
"Ideal",0.71,"F",2788
"Fair",1.01,"E",2788
"Premium",1.01,"H",2788
"Good",0.77,"F",2789
"Good",0.76,"E",2789
"Premium",0.76,"E",2789
"Premium",0.76,"E",2789
"Very Good",1.05,"J",2789
"Ideal",0.81,"G",2789
"Ideal",0.7,"E",2789
"Ideal",0.55,"G",2789
"Good",0.81,"G",2789
"Premium",0.63,"E",2789
"Premium",0.63,"E",2789
"Premium",0.77,"H",2789
"Fair",1.05,"J",2789
"Ideal",0.64,"G",2790
"Premium",0.76,"I",2790
"Ideal",0.83,"F",2790
"Premium",0.71,"F",2790
"Premium",0.71,"F",2790
"Very Good",0.87,"I",2791
"Ideal",0.73,"E",2791
"Premium",0.71,"E",2792
"Premium",0.71,"E",2792
"Ideal",0.71,"E",2792
"Premium",0.7,"F",2792
"Premium",0.7,"F",2792
"Premium",0.76,"H",2792
"Ideal",0.7,"F",2792
"Very Good",0.79,"G",2793
"Very Good",0.7,"E",2793
"Good",0.7,"E",2793
"Ideal",0.76,"I",2793
"Ideal",0.73,"H",2793
"Very Good",0.79,"E",2794
"Very Good",0.71,"E",2795
"Premium",0.81,"I",2795
"Ideal",0.81,"F",2795
"Good",0.72,"F",2795
"Premium",0.72,"D",2795
"Premium",0.72,"I",2795
"Premium",0.81,"H",2795
"Premium",0.72,"G",2795
"Premium",1,"I",2795
"Good",0.73,"E",2796
"Very Good",0.81,"H",2797
"Very Good",0.81,"E",2797
"Premium",0.71,"D",2797
"Premium",0.71,"D",2797
"Premium",0.71,"D",2797
"Ideal",0.57,"F",2797
"Ideal",0.51,"D",2797
"Ideal",0.72,"G",2797
"Ideal",0.74,"H",2797
"Ideal",0.74,"H",2797
